timestamp,old_score,new_score
2025-11-23 14:58:18.213708+00:00,1,0.94
2025-11-23 15:31:39.118278+00:00,0.94,1
2025-11-23 15:32:43.308563+00:00,1,0.9
2025-11-23 15:32:45.396329+00:00,0.9,0.8
2025-11-23 15:32:47.576947+00:00,0.8,0.82
2025-11-23 15:32:47.596630+00:00,0.82,0.84
2025-11-23 15:33:22.852486+00:00,0.84,0.86
2025-11-23 15:33:22.872048+00:00,0.86,0.88
2025-11-26 07:55:14.967663+00:00,0.93,0.87
2025-11-26 07:55:25.676365+00:00,0.87,0.97
2025-11-26 08:04:16.221917+00:00,0.97,1
2025-11-26 08:04:30.042947+00:00,1,0.94
2025-11-26 08:04:44.664817+00:00,0.94,0.88
2025-11-26 08:04:57.595543+00:00,0.88,0.98
2025-11-26 18:33:16.705931+00:00,1,0.95
2025-11-26 18:33:57.371152+00:00,1,0.95
2025-11-26 18:34:40.639867+00:00,0.95,0.9
2025-11-26 18:34:52.360159+00:00,0.9,1
2025-11-26 18:34:52.415706+00:00,1,0.95
2025-11-26 18:34:52.464733+00:00,0.95,0.9
2025-11-26 18:35:37.779972+00:00,0.9,0.85
2025-11-26 18:36:02.464393+00:00,1,0.94
2025-11-26 18:36:11.489221+00:00,0.94,1
2025-11-26 18:44:58.426163+00:00,0.85,0.95
2025-11-26 18:44:58.469112+00:00,0.95,0.9
2025-11-26 18:45:11.262855+00:00,0.9,0.85
2025-11-26 18:48:59.710366+00:00,0.98,1
2025-11-26 18:48:59.755459+00:00,1,0.95
2025-11-26 18:58:51.473455+00:00,1,0.93
2025-11-26 18:59:25.057384+00:00,0.93,0.86
2025-11-26 18:59:27.946729+00:00,0.86,0.79
2025-11-26 19:00:07.360162+00:00,0.79,0.81
2025-11-26 19:00:07.376978+00:00,0.81,0.83
2025-11-26 19:00:28.428457+00:00,0.83,0.85
2025-11-26 19:00:28.446244+00:00,0.85,0.87
2025-11-26 19:04:02.368145+00:00,0.87,0.89
2025-11-26 19:04:02.382191+00:00,0.89,0.91
2025-11-26 19:04:41.957973+00:00,0.91,0.93
2025-11-26 19:04:41.977594+00:00,0.93,0.95
2025-11-26 19:06:29.065127+00:00,0.95,0.97
2025-11-26 19:06:29.082443+00:00,0.97,0.99
2025-11-26 19:06:35.950044+00:00,0.99,1
2025-11-27 05:23:40.351521+00:00,0.95,1
2025-11-27 05:25:56.139433+00:00,0.85,0.95
2025-11-27 06:35:45.699729+00:00,1,0.9
2025-11-27 06:35:47.020056+00:00,0.9,0.8
2025-11-27 06:35:53.417894+00:00,0.8,0.82
2025-11-27 06:35:53.433217+00:00,0.82,0.84
2025-11-27 06:36:45.098829+00:00,0.95,1
2025-11-27 07:12:54.370708+00:00,0.84,0.94
2025-11-27 07:12:54.434780+00:00,0.94,0.96
2025-11-27 07:12:54.450349+00:00,0.96,0.98
2025-11-27 07:13:03.247774+00:00,0.98,1
2025-11-27 19:33:14.930941+00:00,1,0.95
2025-12-03 14:41:38.115339+00:00,1,0.9
2025-12-03 14:41:38.152896+00:00,0.95,0.85
2025-12-03 14:42:14.811845+00:00,0.85,0.75
2025-12-03 14:42:14.856454+00:00,0.75,0.65
2025-12-03 14:42:26.876697+00:00,0.65,0.55
2025-12-03 14:42:26.909041+00:00,0.55,0.45
2025-12-03 14:43:40.217352+00:00,0.45,0.35
2025-12-03 14:43:40.264738+00:00,0.35,0.25
2025-12-03 14:43:40.411297+00:00,0.25,0.15
2025-12-03 14:43:40.449604+00:00,0.15,0.05
2025-12-03 14:43:50.633182+00:00,0.05,0
2025-12-03 14:43:53.287880+00:00,0,0
2025-12-03 14:43:53.818851+00:00,0,0
2025-12-03 14:43:53.839136+00:00,0,0
2025-12-03 14:44:12.951355+00:00,0,0
2025-12-03 14:44:12.978648+00:00,0,0
2025-12-03 14:44:13.489094+00:00,0,0
2025-12-03 14:44:13.507755+00:00,0,0
2025-12-03 14:44:13.656654+00:00,0,0
2025-12-03 14:44:13.695358+00:00,0,0
2025-12-03 14:47:30.514403+00:00,0,0
2025-12-03 14:47:30.527579+00:00,0,0
2025-12-03 14:47:32.499192+00:00,0,0
2025-12-03 14:47:32.510268+00:00,0,0
2025-12-03 14:47:32.571656+00:00,0,0
2025-12-03 14:47:32.578513+00:00,0,0
2025-12-03 15:04:38.283902+00:00,0,0
2025-12-03 15:04:38.310775+00:00,0,0
2025-12-03 15:04:40.151772+00:00,0,0
2025-12-03 15:04:40.173375+00:00,0,0
2025-12-03 15:04:40.234235+00:00,0,0
2025-12-03 15:04:40.247960+00:00,0,0
2025-12-03 15:08:38.619323+00:00,0.95,1
2025-12-03 17:04:18.557838+00:00,0,0.1
2025-12-03 17:04:18.647374+00:00,0.1,0.12
2025-12-03 17:04:18.661962+00:00,0.12,0.14
2025-12-03 17:05:26.781889+00:00,0.14,0.16
2025-12-03 17:05:26.800656+00:00,0.16,0.18
2025-12-03 17:05:35.048070+00:00,0.18,0.2
2025-12-03 17:05:35.067354+00:00,0.2,0.22
2025-12-03 17:18:27.284017+00:00,1,0.9
2025-12-03 17:19:54.974942+00:00,0.9,0.92
2025-12-03 17:19:54.997857+00:00,0.92,0.94
2025-12-03 17:20:50.754814+00:00,0.94,0.96
2025-12-03 17:20:50.775559+00:00,0.96,0.98
2025-12-03 17:21:30.705240+00:00,0.98,1
2025-12-04 17:35:39.275788+00:00,0.22,0.32
2025-12-04 17:35:39.357242+00:00,0.32,0.34
2025-12-04 17:35:39.373636+00:00,0.34,0.36
2025-12-04 17:35:52.132025+00:00,0.36,0.38
2025-12-04 17:35:52.147973+00:00,0.38,0.4
2025-12-04 17:36:12.671736+00:00,0.4,0.42
2025-12-04 17:36:12.684233+00:00,0.42,0.44
2025-12-08 15:33:39.818763+00:00,0.44,0.54
2025-12-08 15:38:24.720016+00:00,0.54,0.56
2025-12-08 15:38:24.739566+00:00,0.56,0.58
2025-12-15 05:53:24.879894+00:00,1,0.94
2025-12-15 05:53:38.912421+00:00,0.94,1
2025-12-16 14:50:21.004687+00:00,0.58,0.68
2025-12-16 14:50:21.207521+00:00,0.68,0.7
2025-12-16 14:50:21.235927+00:00,0.7,0.72
2025-12-17 06:46:55.705566+00:00,0.72,0.82
2025-12-17 06:46:55.908653+00:00,0.82,0.84
2025-12-17 06:46:55.943742+00:00,0.84,0.86
2025-12-17 11:38:16.404936+00:00,0.86,0.96
2025-12-17 11:38:16.559569+00:00,0.96,0.98
2025-12-17 11:38:16.580102+00:00,0.98,1
